UUID,FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,DataSource_KEY,Datatype_KEY,AgeBand_KEY,FinanceType_KEY,PrimarySupportReason_KEY,ComparativeTotals_KEY,ItemValue
8328110,2017,611,E06000032,E12000006,1,1,,,,6,6075
8328110,2017,612,E10000002,E12000008,1,1,,,,6,8660
8328110,2017,613,E06000042,E12000008,1,1,,,,6,4765.68
8328110,2017,614,E06000036,E12000008,1,1,,,,6,4124
8328110,2017,615,E06000037,E12000008,1,1,,,,6,4812
8328110,2017,616,E06000038,E12000008,1,1,,,,6,5519
8328110,2017,617,E06000039,E12000008,1,1,,,,6,5109
8328110,2017,618,E06000040,E12000008,1,1,,,,6,4249
8328110,2017,619,E06000041,E12000008,1,1,,,,6,:
8328110,2017,620,E10000012,E12000006,1,1,,,,6,35244
8328110,2017,621,E06000033,E12000006,1,1,,,,6,5549.094
8328110,2017,622,E06000034,E12000006,1,1,,,,6,:
8328110,2017,623,E10000003,E12000006,1,1,,,,6,16071
8328110,2017,624,E06000031,E12000006,1,1,,,,6,6418
8328110,2017,625,E06000055,E12000006,1,1,,,,6,4337
8328110,2017,626,E06000056,E12000006,1,1,,,,6,4936
8328110,2017,702,E09000007,E12000007,1,1,,,,6,9769
8328110,2017,703,E09000011,E12000007,1,1,,,,6,11808
8328110,2017,704,E09000012,E12000007,1,1,,,,6,9133
8328110,2017,705,E09000013,E12000007,1,1,,,,6,6271
8328110,2017,706,E09000019,E12000007,1,1,,,,6,:
8328110,2017,707,E09000020,E12000007,1,1,,,,6,6084
8328110,2017,708,E09000022,E12000007,1,1,,,,6,12104.85
8328110,2017,709,E09000023,E12000007,1,1,,,,6,9425
8328110,2017,710,E09000028,E12000007,1,1,,,,6,15573.287
8328110,2017,711,E09000030,E12000007,1,1,,,,6,7552
8328110,2017,712,E09000032,E12000007,1,1,,,,6,6745
8328110,2017,713,E09000033,E12000007,1,1,,,,6,0
8328110,2017,714,E09000001,E12000007,1,1,,,,6,168
8328110,2017,716,E09000002,E12000007,1,1,,,,6,13179
8328110,2017,717,E09000003,E12000007,1,1,,,,6,0
8328110,2017,718,E09000004,E12000007,1,1,,,,6,6128
8328110,2017,719,E09000005,E12000007,1,1,,,,6,7048
8328110,2017,720,E09000006,E12000007,1,1,,,,6,:
8328110,2017,721,E09000008,E12000007,1,1,,,,6,8181
8328110,2017,722,E09000009,E12000007,1,1,,,,6,14092
8328110,2017,723,E09000010,E12000007,1,1,,,,6,0
8328110,2017,724,E09000014,E12000007,1,1,,,,6,0
8328110,2017,725,E09000015,E12000007,1,1,,,,6,6558
8328110,2017,726,E09000016,E12000007,1,1,,,,6,:
8328110,2017,727,E09000017,E12000007,1,1,,,,6,5687.89178
8328110,2017,728,E09000018,E12000007,1,1,,,,6,8928
8328110,2017,729,E09000021,E12000007,1,1,,,,6,3072
8328110,2017,730,E09000024,E12000007,1,1,,,,6,5508
8328110,2017,731,E09000025,E12000007,1,1,,,,6,12673.13998
8328110,2017,732,E09000026,E12000007,1,1,,,,6,5205
8328110,2017,733,E09000027,E12000007,1,1,,,,6,:
8328110,2017,734,E09000029,E12000007,1,1,,,,6,11963
8328110,2017,735,E09000031,E12000007,1,1,,,,6,5334
8328110,2017,803,E06000046,E12000008,1,1,,,,6,3573
8328110,2017,805,E10000030,E12000008,1,1,,,,6,27610
8328110,2017,807,E10000032,E12000008,1,1,,,,6,22512
8328110,2017,809,E10000009,E12000009,1,1,,,,6,11349
8328110,2017,810,E06000028,E12000009,1,1,,,,6,1055
8328110,2017,811,E06000029,E12000009,1,1,,,,6,3948.29308
8328110,2017,812,E10000014,E12000008,1,1,,,,6,:
8328110,2017,813,E06000044,E12000008,1,1,,,,6,:
8328110,2017,814,E06000045,E12000008,1,1,,,,6,:
8328110,2017,815,E10000011,E12000008,1,1,,,,6,21618
8328110,2017,816,E06000043,E12000008,1,1,,,,6,:
8328110,2017,817,E06000054,E12000009,1,1,,,,6,:
8328110,2017,819,E06000030,E12000009,1,1,,,,6,4986
8328110,2017,820,E10000016,E12000008,1,1,,,,6,:
8328110,2017,821,E06000035,E12000008,1,1,,,,6,10204.8625
8328110,2017,902,E06000052,E12000009,1,1,,,,6,15586.918
8328110,2017,904,E10000013,E12000009,1,1,,,,6,:
8328110,2017,905,E10000027,E12000009,1,1,,,,6,11447
8328110,2017,908,E06000022,E12000009,1,1,,,,6,7384
8328110,2017,909,E06000023,E12000009,1,1,,,,6,17557
8328110,2017,910,E06000024,E12000009,1,1,,,,6,5004.1
8328110,2017,911,E06000025,E12000009,1,1,,,,6,:
8328110,2017,912,E10000008,E12000009,1,1,,,,6,16320
8328110,2017,913,E06000026,E12000009,1,1,,,,6,8952
8328110,2017,914,E06000027,E12000009,1,1,,,,6,2967
8510101,2017,102,E10000006,E12000002,2,1,2,3,,1,28152.49344
8510101,2017,104,E06000057,E12000001,2,1,2,3,,1,9715
8510101,2017,106,E08000037,E12000001,2,1,2,3,,1,3941
8510101,2017,107,E08000021,E12000001,2,1,2,3,,1,5161.38
8510101,2017,108,E08000022,E12000001,2,1,2,3,,1,5005.5467
8510101,2017,109,E08000023,E12000001,2,1,2,3,,1,6117
8510101,2017,110,E08000024,E12000001,2,1,2,3,,1,11132
8510101,2017,111,E06000001,E12000001,2,1,2,3,,1,5762
8510101,2017,112,E06000002,E12000001,2,1,2,3,,1,4005
8510101,2017,113,E06000003,E12000001,2,1,2,3,,1,3124
8510101,2017,114,E06000004,E12000001,2,1,2,3,,1,4249
8510101,2017,116,E06000047,E12000001,2,1,2,3,,1,12334
8510101,2017,117,E06000005,E12000001,2,1,2,3,,1,3642
8510101,2017,204,E08000016,E12000003,2,1,2,3,,1,4148
8510101,2017,205,E08000017,E12000003,2,1,2,3,,1,7973.26
8510101,2017,206,E08000018,E12000003,2,1,2,3,,1,6116
8510101,2017,207,E08000019,E12000003,2,1,2,3,,1,13016
8510101,2017,209,E08000032,E12000003,2,1,2,3,,1,9231
8510101,2017,210,E08000033,E12000003,2,1,2,3,,1,4680
8510101,2017,211,E08000034,E12000003,2,1,2,3,,1,12624
8510101,2017,212,E08000035,E12000003,2,1,2,3,,1,11715
8510101,2017,213,E08000036,E12000003,2,1,2,3,,1,6664
8510101,2017,214,E06000011,E12000003,2,1,2,3,,1,12266
8510101,2017,215,E06000010,E12000003,2,1,2,3,,1,6971
8510101,2017,216,E06000012,E12000003,2,1,2,3,,1,2072.5
8510101,2017,217,E06000013,E12000003,2,1,2,3,,1,4836.065
8510101,2017,218,E10000023,E12000003,2,1,2,3,,1,12001.55804
8510101,2017,219,E06000014,E12000003,2,1,2,3,,1,6026
8510101,2017,304,E08000001,E12000002,2,1,2,3,,1,7525
8510101,2017,305,E08000002,E12000002,2,1,2,3,,1,5602
8510101,2017,306,E08000003,E12000002,2,1,2,3,,1,7341
8510101,2017,307,E08000004,E12000002,2,1,2,3,,1,4677
8510101,2017,308,E08000005,E12000002,2,1,2,3,,1,5140
8510101,2017,309,E08000006,E12000002,2,1,2,3,,1,6102
8510101,2017,310,E08000007,E12000002,2,1,2,3,,1,8988
8510101,2017,311,E08000008,E12000002,2,1,2,3,,1,6314
8510101,2017,312,E08000009,E12000002,2,1,2,3,,1,6121
8510101,2017,313,E08000010,E12000002,2,1,2,3,,1,7527
8510101,2017,315,E08000011,E12000002,2,1,2,3,,1,4836
8510101,2017,316,E08000012,E12000002,2,1,2,3,,1,13782.56656
8510101,2017,317,E08000014,E12000002,2,1,2,3,,1,5923
8510101,2017,318,E08000013,E12000002,2,1,2,3,,1,3340.06
8510101,2017,319,E08000015,E12000002,2,1,2,3,,1,0.000616783
8510101,2017,321,E06000006,E12000002,2,1,2,3,,1,6044
8510101,2017,322,E06000007,E12000002,2,1,2,3,,1,6383
8510101,2017,323,E10000017,E12000002,2,1,2,3,,1,19433.219
8510101,2017,324,E06000008,E12000002,2,1,2,3,,1,14670.3264
8510101,2017,325,E06000009,E12000002,2,1,2,3,,1,4078
8510101,2017,326,E06000049,E12000002,2,1,2,3,,1,12801.385
8510101,2017,327,E06000050,E12000002,2,1,2,3,,1,7500
8510101,2017,404,E10000031,E12000005,2,1,2,3,,1,27999
8510101,2017,406,E08000025,E12000005,2,1,2,3,,1,31139
8510101,2017,407,E08000026,E12000005,2,1,2,3,,1,5739.752384
8510101,2017,408,E08000027,E12000005,2,1,2,3,,1,7039.905593
8510101,2017,409,E08000028,E12000005,2,1,2,3,,1,5538
8510101,2017,410,E08000029,E12000005,2,1,2,3,,1,2623.206396
8510101,2017,411,E08000030,E12000005,2,1,2,3,,1,5391
8510101,2017,412,E08000031,E12000005,2,1,2,3,,1,5729
8510101,2017,413,E10000028,E12000005,2,1,2,3,,1,16817
8510101,2017,415,E06000019,E12000005,2,1,2,3,,1,4020
8510101,2017,416,E10000034,E12000005,2,1,2,3,,1,15061.10077
8510101,2017,417,E06000051,E12000005,2,1,2,3,,1,7765.866
8510101,2017,418,E06000020,E12000005,2,1,2,3,,1,2503.788
8510101,2017,503,E10000019,E12000004,2,1,2,3,,1,12426
8510101,2017,504,E10000021,E12000004,2,1,2,3,,1,9702
8510101,2017,506,E10000007,E12000004,2,1,2,3,,1,11721
8510101,2017,507,E06000015,E12000004,2,1,2,3,,1,4947
8510101,2017,508,E10000018,E12000004,2,1,2,3,,1,9288
8510101,2017,509,E06000016,E12000004,2,1,2,3,,1,7815
8510101,2017,510,E06000017,E12000004,2,1,2,3,,1,1139
8510101,2017,511,E10000024,E12000004,2,1,2,3,,1,13026.95203
8510101,2017,512,E06000018,E12000004,2,1,2,3,,1,8339.726951
8510101,2017,606,E10000015,E12000006,2,1,2,3,,1,19860
8510101,2017,607,E10000020,E12000006,2,1,2,3,,1,20070
8510101,2017,608,E10000025,E12000008,2,1,2,3,,1,25509
8510101,2017,609,E10000029,E12000006,2,1,2,3,,1,14309.211
8510101,2017,611,E06000032,E12000006,2,1,2,3,,1,6669
8510101,2017,612,E10000002,E12000008,2,1,2,3,,1,9621.89
8510101,2017,613,E06000042,E12000008,2,1,2,3,,1,4965
8510101,2017,614,E06000036,E12000008,2,1,2,3,,1,4964
8510101,2017,615,E06000037,E12000008,2,1,2,3,,1,3769.973184
8510101,2017,616,E06000038,E12000008,2,1,2,3,,1,2772
8510101,2017,617,E06000039,E12000008,2,1,2,3,,1,4985
