UUID,FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,DataType_KEY,AgeBand_KEY,PrimarySupportReason_KEY,CareType_KEY,SupportSetting_KEY,Purpose_KEY,ActivityProvision_KEY,ItemValue
8610101,2017,612,E10000002,E12000008,1,1,6,2,7,,3,0
8610101,2017,613,E06000042,E12000008,1,1,6,2,7,,3,0
8610101,2017,614,E06000036,E12000008,1,1,6,2,7,,3,0
8610101,2017,615,E06000037,E12000008,1,1,6,2,7,,3,0
8610101,2017,616,E06000038,E12000008,1,1,6,2,7,,3,0
8610101,2017,617,E06000039,E12000008,1,1,6,2,7,,3,0
8610101,2017,618,E06000040,E12000008,1,1,6,2,7,,3,0
8610101,2017,619,E06000041,E12000008,1,1,6,2,7,,3,0
8610101,2017,620,E10000012,E12000006,1,1,6,2,7,,3,51.28571429
8610101,2017,621,E06000033,E12000006,1,1,6,2,7,,3,0
8610101,2017,622,E06000034,E12000006,1,1,6,2,7,,3,0
8610101,2017,623,E10000003,E12000006,1,1,6,2,7,,3,0
8610101,2017,624,E06000031,E12000006,1,1,6,2,7,,3,0
8610101,2017,625,E06000055,E12000006,1,1,6,2,7,,3,731
8610101,2017,626,E06000056,E12000006,1,1,6,2,7,,3,52.14
8610101,2017,702,E09000007,E12000007,1,1,6,2,7,,3,0
8610101,2017,703,E09000011,E12000007,1,1,6,2,7,,3,0
8610101,2017,704,E09000012,E12000007,1,1,6,2,7,,3,0
8610101,2017,705,E09000013,E12000007,1,1,6,2,7,,3,0
8610101,2017,706,E09000019,E12000007,1,1,6,2,7,,3,0
8610101,2017,707,E09000020,E12000007,1,1,6,2,7,,3,0
8610101,2017,708,E09000022,E12000007,1,1,6,2,7,,3,0
8610101,2017,709,E09000023,E12000007,1,1,6,2,7,,3,0
8610101,2017,710,E09000028,E12000007,1,1,6,2,7,,3,0
8610101,2017,711,E09000030,E12000007,1,1,6,2,7,,3,0
8610101,2017,712,E09000032,E12000007,1,1,6,2,7,,3,0
8610101,2017,713,E09000033,E12000007,1,1,6,2,7,,3,0
8610101,2017,714,E09000001,E12000007,1,1,6,2,7,,3,0
8610101,2017,716,E09000002,E12000007,1,1,6,2,7,,3,0
8610101,2017,717,E09000003,E12000007,1,1,6,2,7,,3,0
8610101,2017,718,E09000004,E12000007,1,1,6,2,7,,3,0
8610101,2017,719,E09000005,E12000007,1,1,6,2,7,,3,0
8610101,2017,720,E09000006,E12000007,1,1,6,2,7,,3,0
8610101,2017,721,E09000008,E12000007,1,1,6,2,7,,3,0
8610101,2017,722,E09000009,E12000007,1,1,6,2,7,,3,0
8610101,2017,723,E09000010,E12000007,1,1,6,2,7,,3,0.81
