"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bradford,"1,146.03","1,091.95","1,104.05","1,112.93","1,091.42","1,073.06","1,041.12","1,267.44","1,103.81","1,107.93"
Calderdale,"1,063.18","1,014.77","1,057.67","1,042.07","1,072.55","1,047.94",972.03,"1,129.04","1,120.89","1,033.34"
Kirklees,"1,041.86","1,040.96","1,069.05","1,051.14","1,041.59","1,056.45","1,009.51","1,178.76","1,078.05","1,059.04"
Leeds,"1,093.19","1,026.47","1,088.32","1,049.48","1,042.41","1,072.07","1,031.35","1,129.17","1,056.33","1,026.55"
Wakefield,"1,081.51","1,051.87","1,110.23","1,072.46","1,083.96","1,091.94","1,097.34","1,252.29","1,107.72","1,131.39"
Derby,"1,066.29",993.18,"1,034.83","1,019.42","1,009.77","1,075.19","1,036.54","1,186.49","1,117.68","1,104.20"
Leicester,"1,160.22","1,112.87","1,182.25","1,115.00","1,144.05","1,105.12","1,066.81","1,308.54","1,267.48","1,192.60"
Nottingham,"1,118.52","1,117.62","1,203.22","1,148.52","1,144.53","1,107.66","1,137.69","1,300.58","1,287.94","1,145.58"
Rutland,744.08,758.07,866.78,712.37,795.25,850.01,708.94,793.27,814.14,864.90
Derbyshire,"1,011.73",990.67,"1,068.75","1,005.83","1,008.71","1,008.55",978.83,"1,097.04","1,061.01","1,027.88"
Leicestershire,921.78,879.88,905.72,895.59,881.68,904.04,855.83,982.89,945.54,917.69
Lincolnshire,985.04,929.02,"1,009.50",975.97,"1,011.38","1,024.90",967.13,"1,088.30","1,015.96","1,005.07"
Nottinghamshire,985.02,984.74,"1,038.37",985.34,"1,014.50",998.55,962.75,"1,068.46","1,041.08",992.11
North Northamptonshire,991.41,975.73,"1,015.85","1,005.85","1,018.86","1,014.79",974.43,"1,121.39","1,053.55","1,057.34"
West Northamptonshire,974.81,939.31,984.42,938.41,940.38,952.20,920.09,"1,046.62",952.18,951.74
"Herefordshire, County of",883.58,875.11,952.13,939.54,913.57,930.63,866.29,958.82,932.60,912.29
Shropshire,956.02,856.50,943.51,936.95,933.10,915.79,881.43,954.66,900.52,919.91
Stoke-on-Trent,"1,192.89","1,127.95","1,208.22","1,179.75","1,190.44","1,289.28","1,154.92","1,370.77","1,258.80","1,140.73"
Telford and Wrekin,"1,079.89",975.31,"1,109.49","1,046.22","1,073.75","1,057.06","1,006.51","1,127.33","1,076.89","1,048.59"
Staffordshire,"1,009.52",967.11,"1,000.59",963.17,962.41,970.75,931.19,"1,079.04",991.51,949.58
Warwickshire,929.79,900.06,954.44,936.96,916.60,953.40,895.03,"1,041.81",955.06,960.53
Birmingham,"1,074.00","1,065.97","1,076.30","1,033.63","1,042.86","1,032.10",984.18,"1,237.59","1,182.97","1,079.69"
Coventry,"1,041.71","1,012.27","1,055.02","1,013.28","1,070.60","1,030.85","1,024.53","1,186.47","1,108.58","1,087.58"
