"","percent_sector","SupportSetting","DH_GEOGRAPHY_NAME","ActivityProvision","ITEMVALUE","year"
"92",71.6113369684592,"Residential","Dorset","External",37167,2001
"93",38.2608851492424,"Residential","Durham","In House",42698,2001
"94",61.7391148507576,"Residential","Durham","External",68899,2001
"95",18.9245359160613,"Residential","East%20Sussex","In House",9379,2001
"96",81.0754640839387,"Residential","East%20Sussex","External",40181,2001
"97",21.0770707321789,"Residential","Essex","In House",61051,2001
"98",78.9229292678211,"Residential","Essex","External",228605,2001
"99",2.87520672546858,"Residential","Gloucestershire","In House",1669,2001
"100",97.1247932745314,"Residential","Gloucestershire","External",56379,2001
"101",33.3941955148499,"Residential","Hampshire","In House",45358,2001
"102",66.6058044851501,"Residential","Hampshire","External",90468,2001
"103",NA,"Residential","Hertfordshire","In House",NA,2001
"104",NA,"Residential","Hertfordshire","External",158308,2001
"105",NA,"Residential","Isles%20of%20Scilly","In House",NA,2001
"106",NA,"Residential","Isles%20of%20Scilly","External",NA,2001
"107",NA,"Residential","Kent","In House",0,2001
"108",NA,"Residential","Kent","External",0,2001
"109",24.9048286107601,"Residential","Lancashire","In House",61692,2001
"110",75.0951713892399,"Residential","Lancashire","External",186019,2001
"111",28.9974985568597,"Residential","Leicestershire","In House",24112,2001
"112",71.0025014431403,"Residential","Leicestershire","External",59040,2001
"113",15.6054588655098,"Residential","Lincolnshire","In House",18193,2001
"114",84.3945411344902,"Residential","Lincolnshire","External",98388,2001
"115",29.4965084404367,"Residential","Norfolk","In House",44225,2001
"116",70.5034915595633,"Residential","Norfolk","External",105708,2001
"117",45.5353354105794,"Residential","North%20Yorkshire","In House",37558,2001
"118",54.4646645894206,"Residential","North%20Yorkshire","External",44923,2001
"119",41.9479744826261,"Residential","Northamptonshire","In House",41492,2001
"120",58.0520255173738,"Residential","Northamptonshire","External",57421,2001
"121",22.5905277103113,"Residential","Northumberland","In House",16370,2001
"122",77.4094722896887,"Residential","Northumberland","External",56094,2001
"123",28.3826241910776,"Residential","Nottinghamshire","In House",36315,2001
"124",71.6173758089224,"Residential","Nottinghamshire","External",91633,2001
"125",64.1472450359684,"Residential","Oxfordshire","In House",32726,2001
"126",35.8527549640316,"Residential","Oxfordshire","External",18291,2001
"127",6.18134120347598,"Residential","Shropshire","In House",3016,2001
"128",93.818658796524,"Residential","Shropshire","External",45776,2001
"129",0,"Residential","Somerset","In House",0,2001
"130",100,"Residential","Somerset","External",67652,2001
"131",37.9323636029918,"Residential","Staffordshire","In House",41333,2001
"132",62.0676363970082,"Residential","Staffordshire","External",67632,2001
"133",38.9656654996622,"Residential","Suffolk","In House",38064,2001
"134",61.0343345003378,"Residential","Suffolk","External",59622,2001
"135",31.3116370808679,"Residential","Surrey","In House",33020,2001
"136",68.6883629191321,"Residential","Surrey","External",72436,2001
"137",33.200160571942,"Residential","Warwickshire","In House",17368,2001
"138",66.799839428058,"Residential","Warwickshire","External",34945,2001
"139",25.3986931856231,"Residential","West%20Sussex","In House",26549,2001
"140",74.6013068143769,"Residential","West%20Sussex","External",77980,2001
"141",21.0666974293899,"Residential","Wiltshire","In House",10957,2001
"142",78.9333025706101,"Residential","Wiltshire","External",41054,2001
"143",8.11287477954145,"Residential","Worcestershire","In House",4784,2001
"144",91.8871252204586,"Residential","Worcestershire","External",54184,2001
"145",25.4663990748502,"Residential","TOTAL%20Shire%20Counties","In House",832410,2001
"146",74.5336009251498,"Residential","TOTAL%20Shire%20Counties","External",2436250,2001
"147",46.2365591397849,"Residential","Bath%20and%20North%20East%20Somerset%20UA","In House",10062,2001
"148",53.763440860215,"Residential","Bath%20and%20North%20East%20Somerset%20UA","External",11700,2001
"149",28.8900643568721,"Residential","Blackburn%20and%20Darwen%20UA","In House",9831,2001
"150",71.1099356431279,"Residential","Blackburn%20and%20Darwen%20UA","External",24198,2001
"151",22.3643993161685,"Residential","Blackpool%20UA","In House",8634,2001
"152",77.6356006838315,"Residential","Blackpool%20UA","External",29972,2001
"153",4.23452768729642,"Residential","Bournemouth%20UA","In House",1352,2001
"154",95.7654723127036,"Residential","Bournemouth%20UA","External",30576,2001
"155",47.9968883702839,"Residential","Bracknell%20Forest%20UA","In House",3702,2001
"156",52.0031116297161,"Residential","Bracknell%20Forest%20UA","External",4011,2001
"157",19.5530183408235,"Residential","Brighton%20and%20Hove%20UA","In House",8049,2001
"158",80.4469816591765,"Residential","Brighton%20and%20Hove%20UA","External",33116,2001
"159",51.0539119287972,"Residential","Bristol%20UA","In House",35048,2001
"160",48.9460880712028,"Residential","Bristol%20UA","External",33601,2001
"161",29.3999329534026,"Residential","Darlington%20UA","In House",5262,2001
"162",70.6000670465974,"Residential","Darlington%20UA","External",12636,2001
"163",40.2330363262509,"Residential","Derby%20UA","In House",15262,2001
"164",59.7669636737491,"Residential","Derby%20UA","External",22672,2001
"165",5.8321479374111,"Residential","East%20Riding%20of%20Yorkshire%20UA","In House",4715,2001
"166",94.1678520625889,"Residential","East%20Riding%20of%20Yorkshire%20UA","External",76130,2001
"167",17.4221434112823,"Residential","Halton%20UA","In House",3144,2001
"168",82.5778565887177,"Residential","Halton%20UA","External",14902,2001
"169",3.57980987232011,"Residential","Hartlepool%20UA","In House",900,2001
"170",96.4201901276799,"Residential","Hartlepool%20UA","External",24241,2001
"171",30.8406162717362,"Residential","Herefordshire%20UA","In House",6846,2001
"172",69.1593837282638,"Residential","Herefordshire%20UA","External",15352,2001
"173",5.64439740152745,"Residential","Isle%20of%20Wight%20UA","In House",2049.86,2001
"174",94.3556025984725,"Residential","Isle%20of%20Wight%20UA","External",34266.86,2001
"175",10.5998879665937,"Residential","Kingston%20upon%20Hull%20UA","In House",8326,2001
"176",89.4001120334063,"Residential","Kingston%20upon%20Hull%20UA","External",70222,2001
"177",30.2784810126582,"Residential","Leicester%20UA","In House",15548,2001
"178",69.7215189873418,"Residential","Leicester%20UA","External",35802,2001
"179",59.0163934426229,"Residential","Luton%20UA","In House",13104,2001
"180",40.9836065573771,"Residential","Luton%20UA","External",9100,2001
"181",23.6807339449541,"Residential","Medway%20Towns%20UA","In House",6453,2001
"182",76.3192660550459,"Residential","Medway%20Towns%20UA","External",20797,2001
"183",33.6332958380203,"Residential","Middlesbrough%20UA","In House",8372,2001
"184",66.3667041619798,"Residential","Middlesbrough%20UA","External",16520,2001
"185",8.01867549068492,"Residential","Milton%20Keynes%20UA","In House",1769,2001
"186",91.9813245093151,"Residential","Milton%20Keynes%20UA","External",20292,2001
"187",8.38936999081909,"Residential","North%20East%20Lincolnshire%20UA","In House",3381,2001
"188",91.6106300091809,"Residential","North%20East%20Lincolnshire%20UA","External",36920,2001
"189",11.8427299703264,"Residential","North%20Lincolnshire%20UA","In House",3991,2001
"190",88.1572700296736,"Residential","North%20Lincolnshire%20UA","External",29709,2001
"191",21.0544939844303,"Residential","North%20Somerset%20UA","In House",5355,2001
"192",78.9455060155697,"Residential","North%20Somerset%20UA","External",20079,2001
"193",29.1240551356158,"Residential","Nottingham%20UA","In House",17030,2001
"194",70.8759448643842,"Residential","Nottingham%20UA","External",41444,2001
"195",54.8524287763886,"Residential","Peterborough%20UA","In House",10705,2001
"196",45.1475712236114,"Residential","Peterborough%20UA","External",8811,2001
"197",16.2174261344894,"Residential","Plymouth%20UA","In House",6883,2001
"198",83.7825738655106,"Residential","Plymouth%20UA","External",35559,2001
"199",14.3046776232617,"Residential","Poole%20UA","In House",2263,2001
"200",85.6953223767383,"Residential","Poole%20UA","External",13557,2001
"201",51.0338664447937,"Residential","Portsmouth%20UA","In House",16561,2001
"202",48.9661335552063,"Residential","Portsmouth%20UA","External",15890,2001
"203",58.1859756097561,"Residential","Reading%20UA","In House",7634,2001
"204",41.8140243902439,"Residential","Reading%20UA","External",5486,2001
"205",40.9527468305801,"Residential","Redcar%20and%20Cleveland%20UA","In House",8528,2001
"206",59.0472531694199,"Residential","Redcar%20and%20Cleveland%20UA","External",12296,2001
"207",46.9700284401663,"Residential","Rutland%20UA","In House",2147,2001
"208",53.0299715598337,"Residential","Rutland%20UA","External",2424,2001
"209",56.9333996023857,"Residential","Slough%20UA","In House",4582,2001
"210",43.0666003976143,"Residential","Slough%20UA","External",3466,2001
"211",46.6865332765716,"Residential","South%20Gloucestershire%20UA","In House",9870,2001
"212",53.3134667234284,"Residential","South%20Gloucestershire%20UA","External",11271,2001
"213",25.5725704443308,"Residential","Southampton%20UA","In House",9502,2001
"214",74.4274295556692,"Residential","Southampton%20UA","External",27655,2001
"215",12.3502056877124,"Residential","Southend-on-Sea%20UA","In House",4143,2001
"216",87.6497943122876,"Residential","Southend-on-Sea%20UA","External",29403,2001
"217",23.4122305855325,"Residential","Stockton-on-Tees%20UA","In House",7745,2001
"218",76.5877694144675,"Residential","Stockton-on-Tees%20UA","External",25336,2001
"219",54.4271901552886,"Residential","Stoke-on-Trent%20UA","In House",27864,2001
"220",45.5728098447114,"Residential","Stoke-on-Trent%20UA","External",23331,2001
"221",52.6315789473684,"Residential","Swindon%20UA","In House",10400,2001
"222",47.3684210526316,"Residential","Swindon%20UA","External",9360,2001
"223",0,"Residential","Telford%20and%20the%20Wrekin%20UA","In House",0,2001
"224",100,"Residential","Telford%20and%20the%20Wrekin%20UA","External",22836,2001
"225",24.7351578018098,"Residential","Thurrock%20UA","In House",4483,2001
"226",75.2648421981902,"Residential","Thurrock%20UA","External",13641,2001
"227",17.6690565228783,"Residential","Torbay%20UA","In House",7418,2001
"228",82.3309434771217,"Residential","Torbay%20UA","External",34565,2001
"229",20.7834913977982,"Residential","Warrington%20UA","In House",4361,2001
"230",79.2165086022018,"Residential","Warrington%20UA","External",16622,2001
"231",40.8163265306122,"Residential","West%20Berkshire%20UA","In House",4160,2001
"232",59.1836734693878,"Residential","West%20Berkshire%20UA","External",6032,2001
"233",39.9846212995002,"Residential","Windsor%20and%20Maidenhead%20UA","In House",4160,2001
"234",60.0153787004998,"Residential","Windsor%20and%20Maidenhead%20UA","External",6244,2001
"235",36.8866151597411,"Residential","Wokingham%20UA","In House",3533,2001
"236",63.1133848402589,"Residential","Wokingham%20UA","External",6045,2001
"237",57.843137254902,"Residential","York%20UA","In House",12272,2001
"238",42.156862745098,"Residential","York%20UA","External",8944,2001
"239",26.7310812482265,"Residential","TOTAL%20Unitary%20Authorities","In House",367400,2001
"240",73.2689187517735,"Residential","TOTAL%20Unitary%20Authorities","External",1007030,2001
"241",28.495617639003,"Residential","Camden","In House",8323,2001
"242",71.504382360997,"Residential","Camden","External",20885,2001
"243",0,"Residential","City%20of%20London","In House",0,2001
"244",100,"Residential","City%20of%20London","External",737,2001
"245",30.4516085610446,"Residential","Greenwich","In House",9049,2001
"246",69.5483914389554,"Residential","Greenwich","External",20667,2001
"247",4.39024390243902,"Residential","Hackney","In House",936,2001
"248",95.609756097561,"Residential","Hackney","External",20384,2001
"249",28.4938212644021,"Residential","Hammersmith%20and%20Fulham","In House",4773,2001
"250",71.5061787355979,"Residential","Hammersmith%20and%20Fulham","External",11978,2001
"251",14.7869115549215,"Residential","Islington","In House",3317,2001
"252",85.2130884450785,"Residential","Islington","External",19115,2001
"253",32.5286445197089,"Residential","Kensington%20and%20Chelsea","In House",4514,2001
"254",67.4713554802911,"Residential","Kensington%20and%20Chelsea","External",9363,2001
"255",23.1578947368421,"Residential","Lambeth","In House",5720,2001
"256",76.8421052631579,"Residential","Lambeth","External",18980,2001
"257",23.1157591056617,"Residential","Lewisham","In House",6410,2001
"258",76.8842408943383,"Residential","Lewisham","External",21320,2001
"259",32.5320189083269,"Residential","Southwark","In House",8052,2001
"260",67.4679810916731,"Residential","Southwark","External",16699,2001
"261",19.8181818181818,"Residential","Tower%20Hamlets","In House",5668,2001
"262",80.1818181818182,"Residential","Tower%20Hamlets","External",22932,2001
"263",0,"Residential","Wandsworth","In House",0,2001
"264",100,"Residential","Wandsworth","External",26541,2001
"265",32.5773732119636,"Residential","Westminster","In House",6263,2001
"266",67.4226267880364,"Residential","Westminster","External",12962,2001
"267",22.0701004937148,"Residential","TOTAL%20Inner%20London","In House",63030,2001
"268",77.9298995062852,"Residential","TOTAL%20Inner%20London","External",222560,2001
"269",83.2459148678636,"Residential","Barking%20and%20Dagenham","In House",24759,2001
"270",16.7540851321364,"Residential","Barking%20and%20Dagenham","External",4983,2001
"271",44.5508982035928,"Residential","Barnet","In House",19344,2001
"272",55.4491017964072,"Residential","Barnet","External",24076,2001
"273",0,"Residential","Bexley","In House",0,2001
"274",100,"Residential","Bexley","External",25188,2001
"275",6.54205607476635,"Residential","Brent","In House",1456,2001
"276",93.4579439252336,"Residential","Brent","External",20800,2001
"277",NA,"Residential","Bromley","In House",NA,2001
"278",NA,"Residential","Bromley","External",30941,2001
"279",46.9891295847345,"Residential","Croydon","In House",12017,2001
"280",53.0108704152655,"Residential","Croydon","External",13557,2001
"281",31.6313626304142,"Residential","Ealing","In House",8004,2001
"282",68.3686373695858,"Residential","Ealing","External",17300,2001
"283",20.1886334687936,"Residential","Enfield","In House",6657,2001
"284",79.8113665312064,"Residential","Enfield","External",26317,2001
"285",NA,"Residential","Haringey","In House",0,2001
"286",NA,"Residential","Haringey","External",NA,2001
"287",6.60377358490566,"Residential","Harrow","In House",1274,2001
