"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"77","C1","assessment_care_management","SOUTH TYNESIDE","External","0",2001,0
"78","C1","assessment_care_management","SOUTH TYNESIDE","Total","1663.1759073703",2001,100
"79","C1","assessment_care_management","ST HELENS","In House","2252.439",2001,100
"80","C1","assessment_care_management","ST HELENS","External","0",2001,0
"81","C1","assessment_care_management","ST HELENS","Total","2252.439",2001,100
"82","C1","assessment_care_management","STOCKPORT","In House","3737.08222526398",2001,100
"83","C1","assessment_care_management","STOCKPORT","External","0",2001,0
"84","C1","assessment_care_management","STOCKPORT","Total","3737.08222526398",2001,100
"85","C1","assessment_care_management","SUNDERLAND","In House","3713",2001,100
"86","C1","assessment_care_management","SUNDERLAND","External","0",2001,0
"87","C1","assessment_care_management","SUNDERLAND","Total","3713",2001,100
"88","C1","assessment_care_management","TAMESIDE","In House","2721.78336265393",2001,99.8879309077409
"89","C1","assessment_care_management","TAMESIDE","External","3.0537001618361",2001,0.112069092259061
"90","C1","assessment_care_management","TAMESIDE","Total","2724.83706281577",2001,100
"91","C1","assessment_care_management","TRAFFORD","In House","1244",2001,100
"92","C1","assessment_care_management","TRAFFORD","External","0",2001,0
"93","C1","assessment_care_management","TRAFFORD","Total","1244",2001,100
"94","C1","assessment_care_management","WAKEFIELD","In House","2862.4536797433",2001,95.5077387693469
"95","C1","assessment_care_management","WAKEFIELD","External","134.63714936342",2001,4.49226123065307
"96","C1","assessment_care_management","WAKEFIELD","Total","2997.09082910672",2001,100
"97","C1","assessment_care_management","WALSALL","In House","1498.78986050697",2001,100
"98","C1","assessment_care_management","WALSALL","External","0",2001,0
"99","C1","assessment_care_management","WALSALL","Total","1498.78986050697",2001,100
"100","C1","assessment_care_management","WIGAN","In House","2338",2001,100
"101","C1","assessment_care_management","WIGAN","External","0",2001,0
"102","C1","assessment_care_management","WIGAN","Total","2338",2001,100
"103","C1","assessment_care_management","WIRRAL","In House","2960",2001,100
"104","C1","assessment_care_management","WIRRAL","External","0",2001,0
"105","C1","assessment_care_management","WIRRAL","Total","2960",2001,100
"106","C1","assessment_care_management","WOLVERHAMPTON","In House","3876.12394987635",2001,98.902816023429
"107","C1","assessment_care_management","WOLVERHAMPTON","External","43",2001,1.09718397657101
"108","C1","assessment_care_management","WOLVERHAMPTON","Total","3919.12394987635",2001,100
"109","C1","assessment_care_management","BEDFORDSHIRE","In House","2551",2001,99.9608150470219
"110","C1","assessment_care_management","BEDFORDSHIRE","External","1",2001,0.0391849529780564
"111","C1","assessment_care_management","BEDFORDSHIRE","Total","2552",2001,100
"112","C1","assessment_care_management","BUCKINGHAMSHIRE","In House","5400",2001,100
"113","C1","assessment_care_management","BUCKINGHAMSHIRE","External","0",2001,0
"114","C1","assessment_care_management","BUCKINGHAMSHIRE","Total","5400",2001,100
"115","C1","assessment_care_management","CAMBRIDGESHIRE","In House","4591.86007566204",2001,100
"116","C1","assessment_care_management","CAMBRIDGESHIRE","External","0",2001,0
"117","C1","assessment_care_management","CAMBRIDGESHIRE","Total","4591.86007566204",2001,100
"118","C1","assessment_care_management","CHESHIRE","In House","7163",2001,100
"119","C1","assessment_care_management","CHESHIRE","External","0",2001,0
"120","C1","assessment_care_management","CHESHIRE","Total","7163",2001,100
"121","C1","assessment_care_management","CORNWALL","In House","5599",2001,100
"122","C1","assessment_care_management","CORNWALL","External","0",2001,0
"123","C1","assessment_care_management","CORNWALL","Total","5599",2001,100
"124","C1","assessment_care_management","CUMBRIA","In House","5547",2001,99.6407400754446
"125","C1","assessment_care_management","CUMBRIA","External","20",2001,0.359259924555416
"126","C1","assessment_care_management","CUMBRIA","Total","5567",2001,100
"127","C1","assessment_care_management","DERBYSHIRE","In House","4221",2001,100
"128","C1","assessment_care_management","DERBYSHIRE","External","0",2001,0
"129","C1","assessment_care_management","DERBYSHIRE","Total","4221",2001,100
"130","C1","assessment_care_management","DEVON","In House","6797",2001,99.6481454332209
"131","C1","assessment_care_management","DEVON","External","24",2001,0.351854566779065
