"Table 46: Gross current expenditure on other (not long or short term) social care, by primary support reason, 2024 to 2025",,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,
Blank cells indicate where geography information is not applicable (e.g. CASSR codes for regions).,,,,,,,,,,,,,
Values in £thousands.,,,,,,,,,,,,,
Source: Adult social care finance return (ASC-FR),,,,,,,,,,,,,
Geography code,LA code,LA name,Region code,Region name,Social support: Substance misuse support,Social support: Asylum seeker support,Social support: Support to carer,Social support: Support for social isolation/other,Assistive equipment and technology,Social care activities,Information and early intervention,Commissioning and service delivery,Total
E08000017,205,Doncaster,E12000003,Yorkshire and The Humber,£0,"£1,757","£4,431",£0,"£2,805","£14,084",£220,"£11,284","£34,581"
E08000018,206,Rotherham,E12000003,Yorkshire and The Humber,£0,£0,"£1,775",£141,"£1,710","£13,330",£778,"£15,717","£33,451"
E08000019,207,Sheffield,E12000003,Yorkshire and The Humber,"£3,808","£2,305","£1,456",£33,"£6,666","£16,959","£9,014","£17,002","£57,245"
E08000032,209,Bradford,E12000003,Yorkshire and The Humber,£219,"£1,474","£3,366",£179,"£3,892","£23,247","£4,423","£9,861","£46,661"
E08000033,210,Calderdale,E12000003,Yorkshire and The Humber,£0,£0,£138,£189,£562,"£6,141","£1,075","£7,762","£15,867"
E08000034,211,Kirklees,E12000003,Yorkshire and The Humber,£379,£53,"£3,752","£1,983","£1,409","£13,271","£4,537","£17,271","£42,655"
E08000035,212,Leeds,E12000003,Yorkshire and The Humber,£896,£147,"£3,827",£724,"£3,573","£34,502","£6,974","-£6,682","£43,961"
E08000036,213,Wakefield,E12000003,Yorkshire and The Humber,£3,£742,£965,£218,"£1,388","£17,334","£1,051","£11,395","£33,096"
E06000011,214,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,£41,£0,£992,£0,"£3,684","£15,685","£3,517","£10,507","£34,426"
E06000010,215,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,£0,"£2,460","£1,530",£0,£34,"£5,225","£2,136","£11,084","£22,469"
E06000012,216,North East Lincolnshire,E12000003,Yorkshire and The Humber,£23,£0,"£1,242","£3,826",£16,"£4,948",£831,"£2,420","£13,306"
E06000013,217,North Lincolnshire,E12000003,Yorkshire and The Humber,£0,£389,£317,£1,£681,"£8,566",£200,"£5,992","£16,146"
E06000065,218,North Yorkshire,E12000003,Yorkshire and The Humber,£0,£0,"£5,179","£2,379","£2,471","£60,678","£1,137","£11,188","£83,032"
E06000014,219,York,E12000003,Yorkshire and The Humber,£0,£0,£0,£0,"£1,821","£7,304","£3,949","£5,765","£18,839"
E10000019,503,Lincolnshire,E12000004,East Midlands,£0,£0,"£2,048",£0,"£4,574","£20,354",£600,"-£7,829","£19,747"
E10000007,506,Derbyshire,E12000004,East Midlands,£851,£0,"£2,793","£3,131",£531,"£24,686","£4,621","£34,040","£70,652"
E06000015,507,Derby,E12000004,East Midlands,£302,£0,£17,£0,£207,"£7,655",£794,"£4,205","£13,180"
E10000018,508,Leicestershire,E12000004,East Midlands,£230,£0,"£15,276","£2,082","£3,431","£24,003","£2,403","£22,210","£69,635"
E06000016,509,Leicester,E12000004,East Midlands,£427,£48,£111,"£2,947",£319,"£14,993","£1,114","£13,731","£33,691"
E06000017,510,Rutland,E12000004,East Midlands,£0,£0,£44,£51,£178,£960,£890,£635,"£2,759"
E10000024,511,Nottinghamshire,E12000004,East Midlands,£274,£0,"£4,747","£1,334","£3,116","£39,814","£1,761","£45,222","£96,268"
E06000018,512,Nottingham,E12000004,East Midlands,£819,£140,£612,"£3,916","£1,147","£9,111",£784,"£2,522","£19,051"
E06000062,U6Q5Z,West Northamptonshire,E12000004,East Midlands,£0,£0,£7,£195,£912,"£10,204",£363,"£6,252","£17,933"
E06000061,Z9D4Z,North Northamptonshire,E12000004,East Midlands,£0,£0,£0,£0,£189,"£1,258",£0,£347,"£1,794"
E10000031,404,Warwickshire,E12000005,West Midlands,£188,£0,"£2,438","£1,256","£5,275","£48,768","£1,639","£13,774","£73,337"
E08000025,406,Birmingham,E12000005,West Midlands,£0,£812,"£1,394",£82,"£2,956","£51,954","£4,606","£33,985","£95,789"
E08000026,407,Coventry,E12000005,West Midlands,£111,£107,£477,£702,"£2,110","£14,208","£1,427","£13,081","£32,223"
E08000027,408,Dudley,E12000005,West Midlands,£0,£0,£14,£0,"£2,329","£15,832","£2,116","£8,457","£28,748"
E08000028,409,Sandwell,E12000005,West Midlands,£0,£9,£21,£796,"£1,080","£10,558","£3,310","£3,806","£19,580"
E08000029,410,Solihull,E12000005,West Midlands,£0,£0,£303,£0,£562,"£11,231","£3,180","£5,209","£20,485"
E08000030,411,Walsall,E12000005,West Midlands,£0,£0,£0,"£4,859","£1,108","£12,055",£787,"£5,624","£24,433"
E08000031,412,Wolverhampton,E12000005,West Midlands,£1,£0,£338,"£1,433","£1,198","£15,434",£641,"£9,358","£28,403"
E10000028,413,Staffordshire,E12000005,West Midlands,£0,£0,£768,£0,£687,"£31,371",£0,"£11,867","£44,693"
E06000021,414,Stoke-on-Trent,E12000005,West Midlands,£0,£0,£314,£0,"£5,506","£12,703","£1,179","£4,279","£23,981"
E06000019,415,"Herefordshire, County of",E12000005,West Midlands,£0,£0,£969,"£2,530","£1,274","£9,461",£448,"£3,546","£18,227"
E10000034,416,Worcestershire,E12000005,West Midlands,£70,£0,£580,"£5,266","£1,627","£26,966",£0,"£18,971","£53,481"
E06000051,417,Shropshire,E12000005,West Midlands,£121,£3,£321,"£2,345",£576,"£10,578","£1,598","£10,240","£25,782"
E06000020,418,Telford and Wrekin,E12000005,West Midlands,£100,£0,"£1,009",£528,£45,"£6,938",£182,"£4,550","£13,352"
E10000015,606,Hertfordshire,E12000006,East of England,£0,£0,"£8,541",£0,"£4,682","£45,517","£15,572","£44,221","£118,533"
E10000020,607,Norfolk,E12000006,East of England,£553,"£4,156","£3,328","£7,692","£1,648","£39,398","£3,778","£60,557","£121,109"
E10000029,609,Suffolk,E12000006,East of England,£250,"£4,841",£127,£0,"£4,054","£29,573","£2,942","£23,964","£65,751"
E06000032,611,Luton,E12000006,East of England,-£15,£47,"£1,732",£0,£31,"£11,020",-£33,"£3,915","£16,697"
E10000012,620,Essex,E12000006,East of England,£124,"£8,279","£6,317",£511,"£14,798","£85,982","£7,348","£13,147","£136,506"
E06000033,621,Southend-on-Sea,E12000006,East of England,"£1,293",£772,£312,£0,"£1,109","£11,390",£220,"£3,573","£18,670"
E06000034,622,Thurrock,E12000006,East of England,£82,£0,£23,"£2,004",£0,£0,£0,£0,"£2,109"
E10000003,623,Cambridgeshire,E12000006,East of England,£163,£0,"£1,158","£6,924","£3,457","£20,823","£4,376","£35,802","£72,703"
E06000031,624,Peterborough,E12000006,East of England,£46,£0,"£1,233","£1,281",£278,"£6,600","£2,585",£469,"£12,493"
E06000055,625,Bedford,E12000006,East of England,£0,£2,"£2,228",£301,£832,"£6,781",£597,"£6,763","£17,506"
E06000056,626,Central Bedfordshire,E12000006,East of England,£195,£0,"£7,155","£2,789",£39,"£15,982","£1,490","£7,033","£34,683"
E09000007,702,Camden,E12000007,London,£0,£0,"£1,042",£0,"£1,426","£20,126","£1,375","£20,707","£44,675"
E09000011,703,Greenwich,E12000007,London,£536,"£1,865",£217,£0,£106,"£10,103","£2,141","£8,233","£23,201"
E09000012,704,Hackney,E12000007,London,£0,"£1,689",£0,£0,£74,"£13,175",£911,"£9,110","£24,959"
E09000013,705,Hammersmith and Fulham,E12000007,London,£0,£89,£623,£0,"£1,369","£9,504","£1,083","£3,569","£16,236"
E09000019,706,Islington,E12000007,London,£222,"£5,977",£980,£80,£916,"£14,068",£25,"£7,525","£29,793"
E09000020,707,Kensington and Chelsea,E12000007,London,£186,£0,£120,£953,£657,"£12,646",£880,"-£2,248","£13,193"
E09000022,708,Lambeth,E12000007,London,£72,"£2,097","£1,418",£0,"£1,294","£15,279",£338,"-£7,384","£13,114"
E09000023,709,Lewisham,E12000007,London,£0,£221,£185,£0,£492,"£5,210","£1,505","£6,296","£13,910"
E09000028,710,Southwark,E12000007,London,£463,£145,"£1,164",£829,£680,"£11,687","£1,465","£15,520","£31,953"
E09000030,711,Tower Hamlets,E12000007,London,£409,£31,£849,"£3,093","£1,015","£13,636","£2,153","£2,489","£23,675"
E09000032,712,Wandsworth,E12000007,London,£0,"£5,824",£164,£0,£318,"£17,997","£2,833","£10,830","£37,966"
E09000033,713,Westminster,E12000007,London,£0,£3,£109,£0,£291,"£17,615",£57,"£7,101","£25,176"
E09000001,714,City of London,E12000007,London,£12,£231,£20,£8,£3,"£2,951",£0,"£1,025","£4,250"
E09000002,716,Barking and Dagenham,E12000007,London,£474,£4,£338,£0,"£1,223","£7,283","£1,045","£1,408","£11,774"
E09000003,717,Barnet,E12000007,London,£0,£166,£0,£0,£0,"£13,860",£757,"£16,876","£31,658"
E09000004,718,Bexley,E12000007,London,£403,£0,£0,£0,£780,"£6,316",£655,"£2,475","£10,629"
E09000005,719,Brent,E12000007,London,£0,£0,£941,£0,"£2,520","£1,923",£62,"£4,416","£9,863"
E09000006,720,Bromley,E12000007,London,£0,£0,£0,£0,"£1,781","£13,623",£0,"£6,682","£22,085"
E09000008,721,Croydon,E12000007,London,£227,"£2,973",£890,£704,"£2,857","£20,982",£284,"£10,229","£39,146"
E09000009,722,Ealing,E12000007,London,£187,£0,£27,£169,£222,"£17,009","£1,072","£4,874","£23,560"
E09000010,723,Enfield,E12000007,London,£0,£533,£309,£0,"£2,208","£10,711","£3,013","£2,363","£19,137"
E09000014,724,Haringey,E12000007,London,£0,£633,£239,£0,"£2,024","£7,217","£2,158","£9,271","£21,542"
E09000015,725,Harrow,E12000007,London,£182,£0,"£1,263","£1,224","£3,029","£6,205",£163,"£6,681","£18,746"
E09000016,726,Havering,E12000007,London,£76,£0,£279,"£1,756","£1,186","£7,954",£423,"-£2,426","£9,249"
E09000017,727,Hillingdon,E12000007,London,£544,£0,"£1,481",£0,£89,"£10,570",£189,"£5,925","£18,798"
E09000018,728,Hounslow,E12000007,London,£9,£134,£650,£556,£838,"£13,510",£290,"£6,544","£22,531"
E09000021,729,Kingston upon Thames,E12000007,London,£149,£0,£438,£238,£287,"£16,354",£158,£274,"£17,898"
E09000024,730,Merton,E12000007,London,£530,£338,£757,£952,"£1,138","£13,403",£268,£958,"£18,344"
E09000025,731,Newham,E12000007,London,"£3,839",£0,"£2,342",£0,"£1,616","£3,614",£994,"£1,351","£13,756"
E09000026,732,Redbridge,E12000007,London,£39,£32,"£1,311",£230,"£1,319","£10,497","£1,288","£7,667","£22,383"
E09000027,733,Richmond upon Thames,E12000007,London,"£1,387","£1,392",£531,£442,"-£1,130","£7,532","£2,229","£5,776","£18,158"
E09000029,734,Sutton,E12000007,London,£0,£0,£0,£0,-£587,"£6,145",£895,"£10,584","£17,037"
E09000031,735,Waltham Forest,E12000007,London,£0,£0,£839,£0,"£2,036","£9,013",£743,"£7,401","£20,032"
E10000025,608,Oxfordshire,E12000008,South East,£438,£5,£152,"£5,887","£10,498","£27,574","£5,859","£27,108","£77,520"
E06000042,613,Milton Keynes,E12000008,South East,£0,£0,"£2,231",£996,"£1,668","£16,338",£786,"£6,976","£28,996"
E06000036,614,Bracknell Forest,E12000008,South East,£0,£0,"£1,377",£31,£240,"£9,498",£957,"£2,938","£15,041"
E06000037,615,West Berkshire,E12000008,South East,£140,£614,£502,£196,£4,"£7,190","£1,460","£1,625","£11,730"
E06000038,616,Reading,E12000008,South East,£0,£0,£136,"£1,787",£573,"£2,336",£323,"£3,497","£8,652"
E06000039,617,Slough,E12000008,South East,£0,£0,£256,£0,£975,"£5,256",£166,"£11,793","£18,446"
E06000040,618,Windsor and Maidenhead,E12000008,South East,£0,£0,£961,£266,£835,"£7,102",£2,"£2,865","£12,031"
E06000041,619,Wokingham,E12000008,South East,£0,£0,"£1,430",£0,£289,"£11,706","£1,071","£4,683","£19,180"
E06000046,803,Isle of Wight,E12000008,South East,£415,£565,£918,"£4,503","£1,498","£6,668",£881,"£8,637","£24,086"
E10000030,805,Surrey,E12000008,South East,"£1,453","£11,666",£655,"£1,898","£6,157","£38,421",£142,"£59,810","£120,201"
E10000032,807,West Sussex,E12000008,South East,£0,£0,"£2,182",£0,£288,"£39,284","£2,311","£8,935","£52,998"
E10000014,812,Hampshire,E12000008,South East,£0,"£1,921","£4,485","£1,417","£9,126","£35,710","£2,345","£21,272","£76,276"
E06000044,813,Portsmouth,E12000008,South East,£0,£0,£818,£0,£532,"£5,387","£1,256","£6,382","£14,375"
E06000045,814,Southampton,E12000008,South East,"£3,073",£0,£129,£234,"£1,402","£12,084","£1,512","£13,062","£31,496"
E10000011,815,East Sussex,E12000008,South East,"£2,399",£6,"£2,861","£2,432","£5,757","£36,135","£1,146","£18,469","£69,206"
E06000043,816,Brighton and Hove,E12000008,South East,£667,£81,£247,£0,"£1,915","£15,379","£1,178","-£2,173","£17,294"
