,"GDP DEFLATORS AT MARKET PRICES, AND MONEY GDP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Outturn data are as at the Quarterly National Accounts from ONS - last updated 22 December 2023.,,,,,,,,,,,,,,,,
,Forecast data are consistent with OBR Autumn Statement EFO data as at 22 November 2023.,,,,,,,,,,,,,,,,
,Financial year,,,,,,Calendar year,,,,,,,,,,
,,GDP deflator at market prices ,,"Money GDP (3), (4)",,,,GDP deflator at market prices ,,Money GDP (3),,,,,,,
,Financial year,2022-23 = 100,per cent change on previous year,"Cash £ million
Non-Season-ally Adjusted","Cash £ million
Seasonally Adjusted",,Calendar year,2022 = 100,per cent change on previous year,"Cash £ million
Non-Seasonally Adjusted",,,,,,,
,2005-06,68.071,2.74,"1,418,417","1,418,626",,2005,68.958,2.94,"1,398,749",,,,,,,
,2006-07,69.892,2.67,"1,486,255","1,487,819",,2006,70.882,2.79,"1,472,038",,,,,,,
,2007-08,71.583,2.42,"1,565,822","1,565,136",,2007,72.477,2.25,"1,544,637",,,,,,,
,2008-09,74.160,3.60,"1,582,979","1,582,791",,2008,74.963,3.43,"1,593,600",,,,,,,
,2009-10,75.164,1.35,"1,557,028","1,558,176",,2009,76.365,1.87,"1,548,802",,,,,,,
,2010-11,76.580,1.88,"1,627,823","1,627,172",,2010,77.572,1.58,"1,608,553",,,,,,,
,2011-12,77.930,1.76,"1,673,244","1,672,562",,2011,79.272,2.19,"1,662,590",,,,,,,
,2012-13,79.360,1.84,"1,725,339","1,727,114",,2012,80.491,1.54,"1,713,715",,,,,,,
,2013-14,80.886,1.92,"1,803,853","1,801,250",,2013,82.193,2.12,"1,781,361",,,,,,,
,2014-15,81.870,1.22,"1,875,404","1,879,260",,2014,83.276,1.32,"1,862,514",,,,,,,
,2015-16,82.459,0.72,"1,932,100","1,931,443",,2015,83.828,0.66,"1,916,451",,,,,,,
,2016-17,84.335,2.27,"2,013,605","2,015,841",,2016,85.473,1.96,"1,991,645",,,,,,,
,2017-18,85.656,1.57,"2,098,808","2,099,822",,2017,87.061,1.86,"2,082,482",,,,,,,
,2018-19,87.462,2.11,"2,173,677","2,170,432",,2018,88.735,1.92,"2,152,304",,,,,,,
,2019-20,89.527,2.36,"2,244,509","2,240,706",,2019,90.612,2.11,"2,233,921",,,,,,,
,2020-21,94.403,5.45,"2,085,084","2,086,121",,2020,95.417,5.30,"2,104,288",,,,,,,
,2021-22,93.629,-0.82,"2,361,920","2,354,396",,2021,95.113,-0.32,"2,284,079",,,,,,,
,2022-23,100.000,6.80,"2,552,763","2,557,576",,2022,100.000,5.14,"2,505,981",,,,,,,
,"2023-24 (1), (2)",-,6.10,"2,726,494","2,726,259",,"2023 (1), (2)",-,7.03,"2,697,095",,,,,,,
,"2024-25 (1), (2)",-,1.68,"2,797,909","2,796,574",,"2024 (1), (2)",-,2.25,"2,777,197",,,,,,,
,"2025-26 (1), (2)",-,1.71,"2,887,034","2,887,858",,"2025 (1), (2)",-,1.69,"2,863,239",,,,,,,
,"2026-27 (1), (2)",-,1.62,"2,995,053","2,994,768",,"2026 (1), (2)",-,1.63,"2,967,103",,,,,,,
,"2027-28 (1), (2)",-,1.77,"3,105,804","3,105,804",,"2027 (1), (2)",-,1.74,"3,078,047",,,,,,,
,"2028-29 (1), (2)",-,1.88,"3,218,152","3,218,152",,"2028 (1), (2)",-,1.86,"3,189,956",,,,,,,
,Sources and footnotes:,,,,,,,,,,,,,,,,
,GDP Deflator:,Financial years 1955-56 to 2022-23 taken from ONS series L8GG in data tables: Table N.,,,,,,,,,,,,,,,
,,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/uksecondestimateofgdpdatatables/quarter3julytosept2023quarterlynationalaccounts/quarterlynationalaccountsdatatables.xlsx,,,,,,,,,,,,,,,
,,Calendar years 1955 to 2022 taken from ONS series MNF2 in data tables: Table O.,,,,,,,,,,,,,,,
