304,Bolton,"9,350",865,65,535,55,15,"3,580",190,55,155,175,155,95,155,85,30,285,"1,660",365,780,60,45,25,"2,190",655,830,415,"43,460","1,280","1,635","2,095",270,0,0,0,425,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,845","5,785","28,830",395,25,860,215,270,"1,150",890,160,"1,050","10,635","11,935",510,..,..,75,50,20,0,125,20,0,85,0,150,40,25,-,675,"3,410","5,105",730,595,"1,285"
209,Bradford,"11,310",745,90,600,5,65,"3,860",260,155,130,455,"1,160",125,10,"1,215",20,280,"2,600","1,030",915,45,40,25,"3,355","3,580",965,390,"98,330","5,445","10,635","6,430",95,0,0,0,"7,660",145,0,50,"2,275",0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,830","21,305","47,195","2,880",260,"2,305","4,055","4,355","2,225","2,790",150,"3,485","11,625","18,800",940,..,..,905,530,185,0,700,475,235,25,0,-,0,-,-,0,"5,610","8,535","1,200",905,630
305,Bury,"3,955",410,70,345,-,120,"3,075",125,85,95,155,170,25,50,40,5,125,905,430,325,15,15,10,"1,245",735,350,165,"36,715","1,690","3,315","3,575",660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,205","4,575","23,935",720,45,925,200,40,"3,075",605,0,"2,970","8,165","18,890",385,"424,000","982,200",490,180,30,10,185,30,265,0,0,115,20,20,-,0,"1,785","3,780",285,345,515
210,Calderdale,"5,405",345,60,10,5,25,"1,850",145,80,105,20,160,50,20,10,5,160,"1,195",520,305,25,35,20,"1,390",775,340,245,"39,105","1,375","5,950",830,190,0,0,0,"1,750",-,50,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,900","1,800","25,405",870,0,505,"1,410",0,"4,540",395,0,435,"5,855","9,130",395,"279,715","508,025",240,185,-,70,145,105,195,0,0,-,-,0,0,"1,255",0,"2,215",130,355,10
407,Coventry,"6,045",455,40,60,0,0,"2,055",205,0,160,235,275,70,80,85,15,245,"1,875",315,495,45,40,60,"2,390",675,515,390,"50,840","1,070","8,510","1,490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,140","4,625","34,075",365,0,705,915,560,"7,030",390,0,"1,100","6,355","35,205",685,..,..,255,125,0,0,255,20,90,0,0,80,25,15,10,0,"1,905","3,920",690,575,860
205,Doncaster,"5,860",230,50,10,0,10,"1,585",190,105,160,225,385,20,40,45,55,235,"1,585",545,0,25,35,25,"2,045","1,090",0,315,"58,865","3,160","7,385",645,"2,370",65,50,0,"6,870",110,0,50,"2,770",110,0,-,"3,015",0,0,0,0,0,0,0,0,0,0,0,"14,125","11,410","33,330","1,460",855,845,205,"2,290","4,895",215,0,430,"5,555","31,825",705,"249,225","884,145",465,200,95,30,400,35,-,45,0,0,0,0,0,0,0,"4,815",635,315,60
408,Dudley,"9,495",680,35,120,0,110,"3,245",165,65,175,115,445,65,25,..,15,260,"1,700",395,155,75,125,105,"2,005",920,165,570,"58,080","2,575","11,770","3,465","1,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,"2,860",0,0,0,0,0,"9,840","9,195","39,045","1,155",0,"1,415",310,0,"11,460","1,510",0,"1,960","9,525","9,740",645,"423,760","471,475",365,80,55,5,510,80,..,..,0,305,35,10,-,0,"1,625","7,365","1,280",520,255
106,Gateshead,"5,485",645,40,135,30,95,"2,665",150,30,110,140,130,45,85,55,20,185,"1,490",150,470,25,20,15,"1,875",475,500,240,"54,730","2,445","5,020","1,540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,"2,955",0,0,0,0,0,"15,675","4,470","34,585",640,35,"1,770",105,30,"4,885",0,0,"1,540","6,780","8,620",540,"352,560","448,240",95,75,35,-,195,15,55,0,0,15,-,-,0,0,"1,925","4,030",735,345,305
211,Kirklees,"14,345",560,75,665,-,5,"3,515",430,110,125,300,400,120,155,795,20,265,"1,990",755,25,30,35,35,"2,885","2,060",30,365,"68,340","3,500","12,985","2,675",845,0,0,0,"7,880",55,325,25,"1,705",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,"19,520","4,865","43,955","1,240",0,"2,260","1,980",0,"11,005",525,0,"2,150","7,870","13,100",535,"403,665","716,735",465,715,30,95,245,190,245,"1,105",0,330,115,80,25,60,135,"9,175","1,735","1,265","2,170"
315,Knowsley,"3,870",450,55,65,80,-,"1,995",165,35,95,225,305,85,80,0,-,185,"1,015",250,145,30,80,35,"1,490",705,160,330,"38,070","2,635","4,100","3,380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,895",0,"24,175","1,100",0,"1,535",395,520,"3,190","1,145",0,"2,235","4,160","17,995",525,"216,215","935,790",215,135,40,10,225,60,0,0,0,40,-,-,0,0,695,"2,765",540,345,150
